id,item_id,dept_id,cat_id,store_id,state_id,d,sales,date,wm_yr_wk,weekday,month,quarter,day_of_year,week_of_year,year,weekday_sin,weekday_cos,month_sin,month_cos,sales_lag_7,sales_lag_14,sales_lag_28,sales_lag_35,sales_lag_42,sales_rolling_mean_7,sales_rolling_std_7,sales_rolling_mean_14,sales_rolling_std_14,sales_rolling_mean_28,sales_rolling_std_28
SYNTH_000_X_X_validation,0,0,0,0,0,d_1,0,2011-01-29,2011_04,5,1,1,29,4,2011,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_2,0,2011-01-30,2011_04,6,1,1,30,4,2011,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_3,0,2011-01-31,2011_05,0,1,1,31,5,2011,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_4,0,2011-02-01,2011_05,1,2,1,32,5,2011,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_5,0,2011-02-02,2011_05,2,2,1,33,5,2011,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_6,0,2011-02-03,2011_05,3,2,1,34,5,2011,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_7,0,2011-02-04,2011_05,4,2,1,35,5,2011,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_8,0,2011-02-05,2011_05,5,2,1,36,5,2011,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_9,0,2011-02-06,2011_05,6,2,1,37,5,2011,-2.4492935982947064e-16,1.0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_10,0,2011-02-07,2011_06,0,2,1,38,6,2011,0.0,1.0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_11,0,2011-02-08,2011_06,1,2,1,39,6,2011,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_12,0,2011-02-09,2011_06,2,2,1,40,6,2011,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_13,0,2011-02-10,2011_06,3,2,1,41,6,2011,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_14,0,2011-02-11,2011_06,4,2,1,42,6,2011,-0.8660254037844384,-0.5000000000000004,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_15,0,2011-02-12,2011_06,5,2,1,43,6,2011,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_16,0,2011-02-13,2011_06,6,2,1,44,6,2011,-2.4492935982947064e-16,1.0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_17,0,2011-02-14,2011_07,0,2,1,45,7,2011,0.0,1.0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTH_000_X_X_validation,0,0,0,0,0,d_18,0,2011-02-15,2011_07,1,2,1,46,7,2011,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
